Line,Sex,Mean,StError,Concentration,Exposure
DGRP-508,Female,0.488194444,0.060176146,15,24
DGRP-83,Female,0.248652882,0.052415847,15,24
DGRP-59,Female,0.363255719,0.05919933,15,24
DGRP-129,Female,1,0,15,24
DGRP-799,Female,0.892384761,0.036024429,15,24
DGRP-217,Female,0.956597222,0.024182107,15,24
DGRP-228,Female,0.923684211,0.03045525,15,24
DGRP-41,Female,0.861996904,0.04036787,15,24
DGRP-195,Female,0.972794118,0.018303255,15,24
DGRP-367,Female,0.684502924,0.053306299,15,24
DGRP-371,Female,0.891993464,0.037920011,15,24
DGRP-491,Female,0.972222222,0.01885058,15,24
DGRP-808,Female,0.919272446,0.03145592,15,24
DGRP-900,Female,0.723684211,0.052700065,15,24
DGRP-508,Female,1,0,15,0
DGRP-83,Female,1,0,15,0
DGRP-59,Female,1,0,15,0
DGRP-129,Female,1,0,15,0
DGRP-799,Female,1,0,15,0
DGRP-217,Female,1,0,15,0
DGRP-228,Female,1,0,15,0
DGRP-41,Female,1,0,15,0
DGRP-195,Female,1,0,15,0
DGRP-367,Female,1,0,15,0
DGRP-371,Female,1,0,15,0
DGRP-491,Female,1,0,15,0
DGRP-808,Female,1,0,15,0
DGRP-900,Female,1,0,15,0
